,asin,product name,ratings,reviews,helpful,date,Unnamed: 6,target,text
0,1524763136,Becoming,5,"

  Slow and boring and self boasting.

","4,100",13-Dec-18,,p,"

  Slow and boring and self boasting.

"
1,1524763136,Becoming,5,"

  The last thing I wanted to read was a shallow minded patting on the back. I thought with the education, the time would be well spent. I was wrong.

","3,892",11-Dec-18,,p,"

  The last thing I wanted to read was a shallow minded patting on the back. I thought with the education, the time would be well spent. I was wrong.

"
2,1524763136,Becoming,1,"

  I believe I always loved Michelle Obama.  Her grace and dignity always seemed to come as a gift from above.  Her spirit is so incredibly deep and strong.  The stories from her childhood, her brother, her neighborhood, her family, inform us in a brilliant voice about what it was like in the place and time she grew up.Michelle Obama has the empathy and the depth of character so missing in her media portrayal.  I always felt worried that we were suffocating her.  But there is a Michelle Obama who is bigger than the words on a page.  She knows our pains, and she understands our lives.  And we know her in this book.  In this most private book, we know her in a way we could not have otherwise.  Interesting that nothing here surprises me, it only affirms what I felt like I know:  Michelle Obama is a person like us.  She worked and suffered and overcame.Her storytelling skills are exquisite. It left me a little breathless to hear her voice, unfettered and real.I love the photographs.

","2,824",13-Nov-18,,n,"

  I believe I always loved Michelle Obama.  Her grace and dignity always seemed to come as a gift from above.  Her spirit is so incredibly deep and strong.  The stories from her childhood, her brother, her neighborhood, her family, inform us in a brilliant voice about what it was like in the place and time she grew up.Michelle Obama has the empathy and the depth of character so missing in her media portrayal.  I always felt worried that we were suffocating her.  But there is a Michelle Obama who is bigger than the words on a page.  She knows our pains, and she understands our lives.  And we know her in this book.  In this most private book, we know her in a way we could not have otherwise.  Interesting that nothing here surprises me, it only affirms what I felt like I know:  Michelle Obama is a person like us.  She worked and suffered and overcame.Her storytelling skills are exquisite. It left me a little breathless to hear her voice, unfettered and real.I love the photographs.

"
3,1524763136,Becoming,1,"

  Worst piece of crap ever

","3,182",11-Dec-18,,n,"

  Worst piece of crap ever

"
4,1524763136,Becoming,1,"

  If you are an insomniac this book will definitely help that.  A real snoozer.

","2,838",11-Dec-18,,n,"

  If you are an insomniac this book will definitely help that.  A real snoozer.

"
5,1524763136,Becoming,5,"

  Poorly written, silly comments in bad taste, this is not a good book for a lady to read

","2,043",11-Dec-18,,p,"

  Poorly written, silly comments in bad taste, this is not a good book for a lady to read

"
6,1524763136,Becoming,1,"

  Michelle Obama is my voice, a voice that may never be heard with thoughts, feelings and experiences similar to mine yet they don’t matter until now. Thank you Mrs. Obama! For being the voice of this African American woman❤️ Everyone should buy this book!

","1,968",13-Nov-18,,n,"

  Michelle Obama is my voice, a voice that may never be heard with thoughts, feelings and experiences similar to mine yet they don’t matter until now. Thank you Mrs. Obama! For being the voice of this African American woman❤️ Everyone should buy this book!

"
7,1524763136,Becoming,1,"

  I read a lot of negative reviews, but I don’t understand why. I enjoyed reading her story from her perspective. Some parts made me sad; however, I’ll always view Michelle Obama as a role model.

","1,711",13-Nov-18,,n,"

  I read a lot of negative reviews, but I don’t understand why. I enjoyed reading her story from her perspective. Some parts made me sad; however, I’ll always view Michelle Obama as a role model.

"
8,1524763136,Becoming,1,"

  This is the most worthless garbage ever put into book form.

","1,460",11-Dec-18,,n,"

  This is the most worthless garbage ever put into book form.

"
9,1524763136,Becoming,5,"

  A window into her life so far, Michelle Obama gives us endearing, insightful, honest memories. From growing up in a working class household in Chicago, to leaving the White House residence, her story is unique and thought provoking. If you admire and respect the Obamas, you will like this book.

","1,720",13-Nov-18,,p,"

  A window into her life so far, Michelle Obama gives us endearing, insightful, honest memories. From growing up in a working class household in Chicago, to leaving the White House residence, her story is unique and thought provoking. If you admire and respect the Obamas, you will like this book.

"
